Recency,Frequency,Monetary,Cluster,Churn
6,76,1747.66,0,0
305,12,155.05,3,1
29,35,1499.01,0,0
184,13,814.5,1,1
42,36,539.0,0,0
40,69,1366.8600000000001,0,0
92,57,1579.12,1,1
22,176,4027.36,0,0
24,28,571.6700000000001,0,0
29,24,382.98,0,0
302,36,1140.35,3,1
145,59,385.64,1,1
6,96,632.0,0,0
19,40,957.66,0,0
33,46,1698.94,0,0
176,10,189.5,1,1
58,93,412.05,1,0
22,15,209.49,0,0
16,74,2202.99,0,0
19,3,52.199999999999996,0,0
159,29,384.8,1,1
25,55,834.57,0,0
212,19,271.24,3,1
6,174,691.73,0,0
253,1,85.0,3,1
59,206,3385.62,0,0
11,20,361.62,0,0
65,9,312.98,1,0
25,55,865.0600000000001,0,0
92,5,1255.0,1,1
52,101,1537.95,0,0
129,93,1595.48,1,1
96,81,2651.46,1,1
57,23,1090.14,1,0
9,110,8109.5199999999995,0,0
169,14,388.5,1,1
57,11,216.17,1,0
326,28,201.16,3,1
1,76,1245.9,0,0
18,139,2209.36,0,0
248,20,305.78,3,1
58,30,501.56,1,0
74,7,145.67000000000002,1,0
31,61,1015.29,0,0
7,33,3192.54,0,0
123,307,3104.95,1,1
2,115,2770.94,0,0
23,336,6403.25,0,0
120,23,389.6,1,1
358,18,540.45,3,1
54,104,1786.79,0,0
64,7,122.7,1,0
86,3,117.24,1,0
55,36,1281.53,1,0
21,165,3219.77,0,0
4,178,17159.52,0,0
3,65,1191.13,0,0
11,142,2674.48,0,0
7,59,787.6,0,0
189,28,506.8,3,1
71,16,243.56,1,0
204,19,349.55,3,1
120,40,605.63,1,1
93,15,416.90000000000003,1,1
1,110,1883.8100000000002,0,0
27,27,632.97,0,0
298,21,821.1,3,1
24,27,564.62,0,0
28,118,2593.07,0,0
50,17,311.16,1,0
326,12,155.93,3,1
16,19,388.52,0,0
183,43,740.95,1,1
72,149,2867.2,0,0
37,26,332.64,0,0
80,122,2369.55,1,0
57,148,2580.91,0,0
12,33,626.45,0,0
50,18,272.04,1,0
50,30,1212.8400000000001,1,0
59,28,384.81,1,0
352,7,172.25,3,1
54,20,351.13,1,0
2,117,1838.8500000000001,0,0
93,41,678.25,1,1
23,11,223.85000000000002,0,0
75,21,348.99,1,0
11,27,464.57,0,0
169,9,842.65,1,1
58,17,337.34,1,0
96,58,1237.53,1,1
295,16,307.4,3,1
109,23,608.7900000000001,1,1
264,31,922.1,3,1
180,26,376.58,1,1
169,9,158.85,1,1
35,7,71.66,0,0
23,45,568.55,0,0
17,49,839.14,0,0
22,45,5112.96,0,0
79,11,561.5699999999999,1,0
65,5,90.6,1,0
361,3,102.0,3,1
3,160,2427.32,0,0
11,35,745.06,0,0
176,39,674.45,1,1
218,137,3251.071,3,1
7,20,3515.68,0,0
2,25,439.92,0,0
154,33,322.96,1,1
5,152,1026.42,0,0
79,92,598.2,1,0
21,12,230.22,0,0
22,11,169.55,0,0
308,35,664.54,3,1
146,2,80.7,1,1
7,626,9053.94,0,0
19,149,2758.26,0,0
71,15,190.25,1,0
287,11,264.7,3,1
49,28,413.59000000000003,1,0
31,338,2526.28,0,0
207,10,357.98,3,1
15,15,196.79000000000002,0,0
73,54,869.87,1,0
60,11,200.14,1,0
39,111,1871.81,0,0
30,107,2603.43,0,0
27,16,920.51,0,0
4,351,7060.13,0,0
17,13,320.46,0,0
20,234,4147.96,0,0
66,41,1266.08,1,0
213,16,311.3,3,1
12,84,855.97,0,0
30,5,76.8,0,0
43,121,3466.36,0,0
4,155,2313.14,0,0
15,86,1393.69,0,0
10,208,3901.81,0,0
211,15,635.66,3,1
46,39,2043.0800000000002,0,0
134,47,529.73,1,1
43,171,4582.64,0,0
10,84,2874.72,0,0
116,30,962.19,1,1
198,42,695.61,3,1
278,11,328.8,3,1
110,34,473.02,1,1
77,39,505.18,1,0
53,20,917.34,1,0
162,161,4341.21,1,1
47,66,1421.61,0,0
17,39,642.8,0,0
155,22,631.9,1,1
225,28,440.0,3,1
7,31,584.07,0,0
122,16,327.7,1,1
61,6,104.82,1,0
63,15,467.66,1,0
18,243,2360.09,0,0
7,250,17286.86,0,0
2,143,2975.59,0,0
22,89,651.8199999999999,0,0
29,66,1428.02,0,0
285,38,626.65,3,1
176,28,147.20000000000002,1,1
78,92,1560.38,1,0
33,6,152.2,0,0
41,235,3614.92,0,0
266,21,141.41,3,1
27,209,652.82,0,0
109,6,1659.75,1,1
284,14,154.99,3,1
9,32,1308.6100000000001,0,0
305,85,409.93,3,1
17,488,5681.72,0,0
32,54,746.36,0,0
1,210,15610.390000000001,0,0
20,56,225.36,0,0
124,4,260.25,1,1
65,6,92.46,1,0
106,10,725.6400000000001,1,1
1,1106,8214.65,0,0
24,284,6217.96,0,0
267,8,183.6,3,1
5,202,6140.42,0,0
10,111,10464.85,0,0
29,80,1353.74,0,0
267,7,152.55,3,1
64,52,374.7,1,0
320,24,265.85,3,1
4,324,1438.82,0,0
32,13,151.04,0,0
5,43,942.26,0,0
129,46,122.47,1,1
41,42,499.41999999999996,0,0
102,65,1049.37,1,1
125,12,375.1,1,1
33,4,45.599999999999994,0,0
302,153,934.52,3,1
365,29,182.25,3,1
4,181,1018.43,0,0
2,450,4448.54,0,0
3,69,194.42,0,0
10,589,50491.81,0,0
57,14,161.0,1,0
325,1,76.32000000000001,3,1
8,214,4076.91,0,0
12,105,442.85,0,0
4,5111,65164.79,2,0
37,21,147.35,0,0
16,250,3104.17,0,0
138,26,194.9,1,1
74,35,5976.79,1,0
5,79,1360.28,0,0
155,21,216.20999999999998,1,1
239,74,1266.23,3,1
52,123,2703.23,0,0
31,34,597.91,0,0
73,9,144.2,1,0
4,156,5683.15,0,0
14,10,692.85,0,0
23,160,2915.15,0,0
4,34,1840.42,0,0
274,15,386.53,3,1
20,72,1382.74,0,0
144,3,90.0,1,1
4,159,2780.15,0,0
84,5,419.58000000000004,1,0
11,167,2740.43,0,0
8,15,706.1300000000001,0,0
123,44,709.71,1,1
61,46,637.5,1,0
2,52,1123.8600000000001,0,0
319,67,483.86,3,1
2,200,3586.0299999999997,0,0
130,28,605.64,1,1
2,134,4690.31,0,0
2,47,982.3800000000001,0,0
46,26,415.82,1,0
4,66,935.05,0,0
3,40,915.13,0,0
373,22,311.81,3,1
134,7,115.8,1,1
47,11,3742.2,0,0
9,210,4191.0,0,0
78,5,483.4,1,0
234,3,157.2,3,1
221,28,446.62,3,1
36,26,658.64,0,0
75,49,621.29,1,0
239,52,1345.62,3,1
266,6,118.75,3,1
10,1400,117379.63,2,0
20,48,432.88,0,0
40,41,507.66,0,0
20,1204,4693.01,0,0
216,108,1110.52,3,1
174,25,289.36,1,1
87,52,2445.91,1,0
71,29,1631.77,1,0
276,25,122.53999999999999,3,1
39,52,574.84,0,0
98,58,363.79,1,1
11,29,450.84,0,0
33,26,134.46,0,0
60,149,3222.3,0,0
297,31,576.9000000000001,3,1
86,42,559.41,1,0
9,327,1620.93,0,0
41,165,719.78,0,0
11,240,4748.52,0,0
67,24,452.89,1,0
331,3,197.65,3,1
31,65,2054.36,0,0
2,265,4654.08,0,0
2,259,4684.76,0,0
68,42,853.39,1,0
5,579,11349.52,0,0
202,7,1012.0,3,1
107,6,335.52,1,1
18,39,701.4,0,0
218,2,185.39999999999998,3,1
60,37,747.44,1,0
2,44,161.03,0,0
17,24,466.7,0,0
239,20,328.15999999999997,3,1
95,10,151.74,1,1
11,87,2073.43,0,0
106,102,1905.8400000000001,1,1
53,112,2241.1,0,0
90,9,1070.48,1,0
31,67,1004.38,0,0
12,108,1789.72,0,0
3,59,1839.3,0,0
2,100,2004.98,0,0
43,12,169.48000000000002,1,0
4,7,89.94,0,0
247,21,632.4,3,1
42,193,3432.8,0,0
177,41,683.17,1,1
92,60,991.13,1,1
110,118,1050.12,1,1
29,67,2232.19,0,0
26,175,3350.96,0,0
52,40,1547.2,1,0
184,50,925.71,1,1
43,115,2048.07,0,0
49,35,1462.72,1,0
22,159,775.46,0,0
75,79,3144.86,1,0
81,15,490.86,1,0
373,9,161.0,3,1
326,8,146.85,3,1
43,112,2380.85,0,0
30,42,890.34,0,0
184,10,213.70000000000002,1,1
235,16,280.55,3,1
9,141,2588.77,0,0
220,108,1693.45,3,1
111,75,1474.06,1,1
278,20,136.76999999999998,3,1
318,8,302.58,3,1
7,111,1904.05,0,0
2,78,2879.7000000000003,0,0
260,53,969.0600000000001,3,1
64,106,3099.7200000000003,0,0
9,111,12669.98,0,0
142,5,120.0,1,1
51,52,1163.45,1,0
8,143,2618.23,0,0
155,17,333.97,1,1
109,31,530.18,1,1
163,55,1516.24,1,1
332,29,492.65000000000003,3,1
226,10,112.32,3,1
74,33,437.96,1,0
51,29,559.97,1,0
99,64,1119.74,1,1
15,225,4216.2,0,0
197,8,134.04,3,1
3,156,3729.34,0,0
31,32,595.25,0,0
21,27,1910.01,0,0
24,280,4628.75,0,0
8,9,176.63,0,0
213,16,426.6,3,1
9,47,911.26,0,0
11,101,2314.65,0,0
2,237,3883.25,0,0
8,100,4871.93,0,0
3,61,1046.56,0,0
40,5,166.20000000000002,1,0
18,62,1305.33,0,0
8,1637,51527.3,0,0
8,143,3965.62,0,0
19,3,43.2,0,0
117,13,640.14,1,1
223,17,383.45,3,1
71,105,1858.96,1,0
51,33,2093.32,1,0
89,180,2995.72,1,0
8,117,2352.53,0,0
243,20,310.26,3,1
47,87,1611.59,0,0
107,8,120.0,1,1
45,101,2481.13,0,0
65,24,508.58000000000004,1,0
207,31,477.79,3,1
11,123,1530.75,0,0
115,36,605.0600000000001,1,1
242,8,183.85,3,1
163,12,311.65,1,1
17,259,5014.84,0,0
124,28,462.65999999999997,1,1
23,26,866.31,0,0
68,15,415.2,1,0
17,162,2552.21,0,0
16,63,468.26,0,0
17,90,1614.91,0,0
161,31,588.22,1,1
243,14,309.52,3,1
219,6,134.7,3,1
45,129,2182.28,0,0
21,21,668.5600000000001,0,0
127,71,889.9300000000001,1,1
39,6,108.97999999999999,1,0
121,60,1021.58,1,1
260,18,409.57,3,1
10,31,133.5,0,0
274,18,282.93,3,1
165,1,51.0,1,1
157,47,1078.96,1,1
215,6,90.6,3,1
6,9,163.62,0,0
366,11,174.4,3,1
80,33,701.23,1,0
43,41,225.77,0,0
19,55,912.18,0,0
32,118,2128.23,0,0
22,41,161.2,0,0
109,69,3717.35,1,1
8,524,9261.52,0,0
320,8,155.0,3,1
295,4,100.5,3,1
358,4,76.55,3,1
185,75,257.68,1,1
191,11,617.05,3,1
44,46,348.1,0,0
52,56,202.68,1,0
26,131,626.0699999999999,0,0
38,59,1247.69,0,0
9,14,202.11,0,0
297,7,142.4,3,1
33,140,1770.56,0,0
10,186,3212.84,0,0
65,45,1043.46,1,0
10,286,4652.82,0,0
218,5,67.95,3,1
2,350,3507.71,0,0
65,73,487.99,1,0
3,87,2612.96,0,0
149,25,574.7,1,1
4,182,4051.48,0,0
130,20,1475.81,1,1
34,103,1474.32,0,0
119,8,156.75,1,1
107,73,2157.73,1,1
11,107,2606.53,0,0
71,54,2059.4500000000003,1,0
92,194,1105.07,1,1
311,14,1063.0,3,1
43,43,770.03,0,0
362,23,122.7,3,1
92,97,1496.98,1,1
1,590,5900.28,0,0
22,14,490.22,0,0
4,124,1937.25,0,0
11,206,1058.06,0,0
99,29,387.52,1,1
57,27,813.11,1,0
1,222,4263.64,0,0
218,3,265.2,3,1
18,1,322.08,0,0
24,224,4481.67,0,0
50,17,363.34000000000003,1,0
7,144,1244.83,0,0
303,17,470.36,3,1
10,382,2255.51,0,0
22,12,1372.8,0,0
99,9,89.06,1,1
366,5,63.0,3,1
306,9,131.9,3,1
320,32,2661.24,3,1
8,55,2357.6800000000003,0,0
1,51,1712.89,0,0
205,63,1589.82,3,1
54,93,1420.2,0,0
1,293,1039.58,0,0
19,70,1163.23,0,0
9,20,375.35,0,0
19,258,907.1,0,0
181,40,483.25,1,1
60,109,662.59,0,0
11,62,264.44,0,0
190,22,119.93,3,1
5,970,3062.4,0,0
311,4,113.64,3,1
155,37,1837.92,1,1
110,16,434.34,1,1
148,180,2103.06,1,1
66,240,2004.02,0,0
98,6,529.62,1,1
247,130,1058.6200000000001,3,1
29,72,2272.4,0,0
18,90,598.76,0,0
12,43,461.19,0,0
104,281,1936.84,0,1
74,7,234.34000000000003,1,0
46,29,547.66,1,0
72,42,925.85,1,0
257,19,215.7,3,1
20,10,1309.6,0,0
254,18,316.25,3,1
11,13,279.05,0,0
165,30,636.51,1,1
18,144,2068.15,0,0
282,9,137.1,3,1
50,14,321.92,1,0
39,47,165.75,0,0
27,144,1196.33,0,0
68,46,1064.28,1,0
207,30,463.38,3,1
175,17,340.93,1,1
7,120,2383.2400000000002,0,0
26,7,139.56,0,0
51,6,123.8,1,0
312,19,538.8100000000001,3,1
309,29,475.37,3,1
43,193,1957.32,0,0
26,194,815.32,0,0
88,7,356.85,1,0
184,10,251.21,1,1
20,624,2470.67,0,0
3,164,3543.26,0,0
47,107,673.26,0,0
17,799,5905.64,0,0
17,316,2012.17,0,0
24,96,1383.18,0,0
22,57,276.42,0,0
11,68,1314.81,0,0
188,23,275.28,3,1
101,12,455.59000000000003,1,1
61,73,1055.35,1,0
18,101,2102.09,0,0
33,18,330.45,0,0
64,16,174.37,1,0
2,4,270.6,0,0
24,17,974.54,0,0
108,12,241.09,1,1
32,203,1867.68,0,0
20,291,4332.2,0,0
3,972,8508.82,0,0
37,18,364.21999999999997,0,0
60,229,620.04,0,0
26,216,2925.91,0,0
236,64,932.85,3,1
25,62,1949.72,0,0
3,519,4447.05,0,0
60,330,2864.19,0,0
260,19,171.8,3,1
58,10,355.56,1,0
65,19,388.25,1,0
16,32,537.48,0,0
10,76,996.26,0,0
59,111,1461.65,0,0
186,5,103.25,3,1
29,72,3630.33,0,0
24,114,2024.45,0,0
5,399,2578.09,0,0
4,366,4007.54,0,0
151,4,652.8,1,1
311,56,289.24,3,1
11,48,765.62,0,0
18,10,186.23,0,0
152,58,165.07,1,1
19,113,859.27,0,0
10,216,2381.04,0,0
57,21,324.14,1,0
85,16,788.38,1,0
7,74,2237.77,0,0
76,69,1080.76,1,0
4,423,5074.77,0,0
96,127,3099.12,1,1
111,4,1432.0,1,1
57,33,1530.3600000000001,1,0
1,12,227.39,0,0
281,29,218.06,3,1
3,270,2832.84,0,0
180,235,1653.42,1,1
372,1,35.400000000000006,3,1
13,123,859.71,0,0
3,24,168.63,0,0
17,17,138.6,0,0
41,6,114.11,1,0
6,330,1052.55,0,0
169,100,1042.26,1,1
50,29,157.05,1,0
277,19,237.36,3,1
19,383,1601.14,0,0
372,3,39.75,3,1
15,197,1447.14,0,0
35,164,570.46,0,0
22,152,617.99,0,0
7,53,379.83,0,0
20,102,1740.6,0,0
11,55,883.15,0,0
44,50,221.97,0,0
306,25,393.33000000000004,3,1
11,7,213.96,0,0
275,2,660.0,3,1
1,2700,12156.65,0,0
16,86,16569.5,0,0
4,20,1785.15,0,0
72,4,601.56,1,0
243,3,406.08000000000004,3,1
9,16,553.44,0,0
246,20,394.44,3,1
206,26,412.78000000000003,3,1
1,92,1788.3600000000001,0,0
185,21,320.58000000000004,1,1
32,134,889.25,0,0
57,13,225.85,1,0
196,53,899.63,3,1
24,122,2791.27,0,0
91,24,671.96,1,1
4,152,959.01,0,0
51,41,1006.98,1,0
263,8,114.56,3,1
266,20,344.90000000000003,3,1
36,28,609.85,0,0
51,16,443.6,1,0
52,172,2984.49,0,0
24,106,2125.08,0,0
22,7,110.46,0,0
59,2,96.12,1,0
170,31,693.8100000000001,1,1
68,26,830.76,1,0
157,30,597.09,1,1
2,2080,280206.02,2,0
201,30,243.22,3,1
5,199,1417.29,0,0
67,102,654.6,1,0
77,29,114.18,1,0
1,237,1947.55,0,0
8,49,1932.23,0,0
169,80,291.05,1,1
18,126,848.22,0,0
5,29,247.15,0,0
9,253,2529.93,0,0
87,30,285.74,1,0
27,4,107.95,0,0
29,168,771.17,0,0
20,99,637.89,0,0
61,90,1835.7,1,0
24,14,195.25,0,0
11,573,9241.2,0,0
242,170,1269.99,3,1
280,132,411.53,3,1
235,61,765.55,3,1
3,74,1736.4,0,0
16,102,604.75,0,0
31,42,2548.2400000000002,0,0
25,258,28754.11,0,0
71,7,498.95,1,0
188,2,52.0,3,1
26,421,1236.28,0,0
107,15,628.38,1,1
8,327,5630.87,0,0
209,13,112.8,3,1
44,50,371.7,0,0
31,71,2114.33,0,0
137,68,591.55,1,1
265,8,172.9,3,1
4,130,2078.95,0,0
218,22,188.60999999999999,3,1
2,210,1250.76,0,0
214,8,109.13000000000001,3,1
32,115,2235.3,0,0
11,335,2549.37,0,0
1,347,3292.14,0,0
15,22,318.17,0,0
11,415,1546.91,0,0
199,1,179.0,3,1
3,28,1126.37,0,0
15,196,4921.04,0,0
14,139,606.13,0,0
10,357,2868.8,0,0
29,25,917.07,0,0
9,339,2666.36,0,0
24,10,160.19,0,0
25,71,867.38,0,0
43,55,329.68,0,0
2,237,1602.13,0,0
6,37,663.81,0,0
147,29,187.92000000000002,1,1
10,278,1158.3,0,0
25,52,718.08,0,0
274,10,268.58,3,1
374,71,313.49,3,1
1,501,2005.06,0,0
47,45,380.02,1,0
8,147,2702.4900000000002,0,0
16,202,9585.91,0,0
4,194,6065.69,0,0
4,17,1164.55,0,0
43,54,1314.45,0,0
4,60,3902.28,0,0
197,89,1448.21,3,1
12,59,1400.34,0,0
16,26,1099.98,0,0
113,69,1220.26,1,1
249,18,328.2,3,1
29,89,1415.75,0,0
44,5,389.64,1,0
87,30,563.15,1,0
45,41,638.05,0,0
10,235,5010.28,0,0
15,38,738.96,0,0
75,19,420.5,1,0
145,71,1484.06,1,1
5,102,1625.97,0,0
297,5,89.2,3,1
59,11,255.9,1,0
264,21,300.52,3,1
47,6,278.3,1,0
29,39,254.11,0,0
8,135,2473.37,0,0
17,5,192.60000000000002,0,0
3,1090,10674.75,0,0
232,52,876.42,3,1
112,9,139.26,1,1
58,60,1011.9,1,0
51,117,2538.3,0,0
127,35,730.86,1,1
281,41,386.15,3,1
55,27,447.68,1,0
320,6,200.10000000000002,3,1
26,15,289.99,0,0
10,3,77.4,0,0
7,30,679.4399999999999,0,0
29,6,197.64,0,0
17,46,745.06,0,0
64,2,6.2,1,0
21,14,228.99,0,0
3,80,1319.91,0,0
166,6,131.45000000000002,1,1
1,1141,8022.49,0,0
53,12,173.74,1,0
51,13,157.7,1,0
48,385,4339.74,0,0
61,59,193.14,1,0
162,44,845.55,1,1
9,12,353.27,0,0
15,47,554.65,0,0
75,11,193.39000000000001,1,0
40,235,2741.17,0,0
41,255,2087.88,0,0
370,30,155.43,3,1
37,53,778.5,0,0
197,4,271.85,3,1
200,63,1110.34,3,1
74,48,657.8,1,0
64,13,272.07,1,0
21,29,507.29,0,0
367,2,48.800000000000004,3,1
180,70,321.43,1,1
10,29,1127.71,0,0
4,121,2226.91,0,0
197,17,2139.76,3,1
29,42,697.55,0,0
53,40,197.13,1,0
18,67,1720.3,0,0
10,6,102.44999999999999,0,0
90,108,1649.5,1,0
268,4,62.85,3,1
53,138,3295.76,0,0
44,145,2824.69,0,0
64,130,3189.81,0,0
149,13,309.4,1,1
22,388,7930.54,0,0
312,21,325.75,3,1
23,28,511.35,0,0
58,143,2836.69,0,0
24,9,475.8,0,0
78,127,2759.83,1,0
119,20,645.65,1,1
36,66,1311.3799999999999,0,0
60,60,1173.12,1,0
13,58,1353.74,0,0
19,11,170.32,0,0
52,6,125.79,1,0
26,48,841.1999999999999,0,0
29,11,266.76,0,0
7,4,52.2,0,0
11,99,14389.9,0,0
186,36,710.28,3,1
3,144,2953.59,0,0
9,71,725.7,0,0
262,13,327.25,3,1
3,98,522.38,0,0
210,28,519.68,3,1
108,47,1465.3200000000002,1,1
13,124,1485.54,0,0
77,47,706.19,1,0
20,17,255.4,0,0
27,11,589.7,0,0
19,53,761.59,0,0
132,15,765.3199999999999,1,1
253,18,364.8,3,1
79,6,1862.0,1,0
207,20,369.2,3,1
336,10,135.9,3,1
254,7,125.65,3,1
148,33,554.38,1,1
10,73,1237.8500000000001,0,0
85,23,655.75,1,0
8,498,11138.710000000001,0,0
205,43,468.77000000000004,3,1
8,55,1366.38,0,0
23,116,1303.52,0,0
11,96,1421.29,0,0
26,20,332.66,0,0
21,355,2810.63,0,0
2,69,1025.44,0,0
158,17,616.15,1,1
3,165,3501.1,0,0
74,9,277.8,1,0
3,30,434.35,0,0
1,5677,143825.06,2,0
17,27,867.85,0,0
36,87,1227.43,0,0
91,12,307.48,1,1
71,77,1268.98,1,0
116,45,1610.15,1,1
213,57,977.77,3,1
30,78,1316.07,0,0
51,44,749.1,1,0
246,10,310.05,3,1
32,11,223.88,0,0
109,128,2372.86,1,1
5,41,1257.68,0,0
366,17,363.53,3,1
82,87,1890.94,1,0
297,10,1784.71,3,1
34,364,8137.02,0,0
57,34,1621.88,1,0
30,170,5900.25,0,0
14,3,100.9,0,0
72,14,290.82,1,0
23,63,1101.97,0,0
19,19,371.2,0,0
79,20,311.69,1,0
60,138,8099.49,0,0
25,55,289.82,0,0
12,85,336.17,0,0
253,12,58.49,3,1
147,42,499.68,1,1
64,59,695.42,1,0
8,27,221.27,0,0
11,312,7044.68,0,0
271,5,126.7,3,1
10,198,1487.8,0,0
247,13,206.21,3,1
96,83,599.0,1,1
15,38,191.32,0,0
50,6,463.8,1,0
30,37,147.59,0,0
68,34,1592.06,1,0
35,160,1116.57,0,0
128,18,114.77,1,1
107,32,1314.45,1,1
37,21,114.39,0,0
57,11,279.94,1,0
57,72,790.86,1,0
72,216,1931.42,0,0
246,8,102.12,3,1
19,41,213.27,0,0
198,87,296.75,3,1
16,4,326.4,0,0
212,40,334.54,3,1
39,61,233.23000000000002,0,0
46,26,546.1999999999999,1,0
170,75,429.87,1,1
48,77,490.52,0,0
116,115,1641.76,1,1
147,158,1246.32,1,1
16,1119,6316.57,0,0
51,144,502.09,0,0
159,12,156.91,1,1
12,182,1261.78,0,0
36,20,308.94,0,0
54,128,423.04,0,0
43,35,260.17,1,0
173,20,170.04,1,1
34,20,125.58,0,0
39,31,496.21000000000004,0,0
267,70,266.0,3,1
9,472,1914.82,0,0
12,135,905.04,0,0
3,562,6802.76,0,0
10,155,1661.33,0,0
33,72,377.01,0,0
80,61,469.0,1,0
31,35,1066.1499999999999,0,0
8,48,627.13,0,0
72,7,518.28,1,0
4,111,668.14,0,0
256,52,4959.1,3,1
5,510,2586.67,0,0
16,394,4308.61,0,0
90,27,252.73000000000002,1,0
72,127,465.55,1,0
59,130,705.49,0,0
10,1502,19914.44,0,0
170,67,180.35,1,1
199,5,135.93,3,1
31,3,537.0,0,0
19,453,7700.2300000000005,0,0
152,12,735.66,1,1
9,206,5213.7699999999995,0,0
270,22,343.62,3,1
65,97,384.05,1,0
274,3,121.17000000000002,3,1
25,78,1782.09,0,0
23,143,1391.61,0,0
319,30,215.78,3,1
5,71,697.79,0,0
12,114,302.1,0,0
275,25,1489.5,3,1
25,276,2124.9900000000002,0,0
41,237,1337.72,0,0
8,121,303.09,0,0
4,403,54534.14,0,0
71,57,987.86,1,0
213,5,370.79999999999995,3,1
38,155,3158.13,0,0
53,42,893.59,1,0
78,82,1744.76,1,0
46,104,553.36,0,0
179,70,1109.53,1,1
373,1,106.2,3,1
94,26,982.07,1,1
10,54,1043.41,0,0
105,42,748.87,1,1
78,27,773.03,1,0
173,49,880.85,1,1
7,440,9743.11,0,0
213,47,895.61,3,1
22,33,504.8,0,0
257,5,88.2,3,1
282,15,306.94,3,1
21,57,1160.07,0,0
10,145,2420.84,0,0
308,23,381.32,3,1
68,30,480.71,1,0
215,26,457.81,3,1
18,108,4597.02,0,0
104,47,1370.6,1,1
43,11,219.39000000000001,1,0
4,25,248.08,0,0
182,3,39916.5,1,1
84,23,410.48,1,0
334,3,876.0,3,1
9,8,317.53,0,0
31,35,703.36,0,0
197,69,1027.44,3,1
18,101,2298.93,0,0
18,100,1422.52,0,0
311,17,319.5,3,1
142,60,1300.25,1,1
246,28,484.95,3,1
24,35,996.1,0,0
29,84,1567.48,0,0
10,100,3609.33,0,0
30,197,2760.56,0,0
18,21,340.11,0,0
18,45,1352.75,0,0
15,79,1551.78,0,0
134,1,244.8,1,1
246,14,266.4,3,1
134,21,358.82,1,1
50,28,457.72,1,0
114,82,1633.78,1,1
7,106,2199.31,0,0
23,15,184.19,0,0
25,127,11528.48,0,0
66,16,406.53,1,0
60,102,1471.0,0,0
50,84,3447.4,0,0
170,22,330.11,1,1
18,52,977.9300000000001,0,0
128,29,982.42,1,1
15,73,1387.99,0,0
239,9,139.05,3,1
3,68,1286.7,0,0
240,13,178.96,3,1
52,80,2354.25,0,0
46,26,498.74,1,0
226,14,259.45,3,1
8,217,6580.44,0,0
4,67,1194.73,0,0
165,91,1327.16,1,1
240,28,623.5,3,1
11,20,301.29,0,0
134,23,520.8000000000001,1,1
17,343,5314.47,0,0
10,271,4745.69,0,0
31,22,329.25,0,0
75,85,296.42,1,0
1,55,961.49,0,0
4,125,1936.07,0,0
45,7,401.40000000000003,1,0
2,710,18641.010000000002,0,0
357,4,158.16,3,1
18,29,304.47,0,0
69,103,843.05,1,0
373,27,487.75,3,1
321,41,163.0,3,1
26,5,106.56,0,0
331,5,1289.5,3,1
9,110,1624.05,0,0
323,11,135.75,3,1
72,23,224.14,1,0
260,3,40.5,3,1
18,93,2206.95,0,0
367,6,87.5,3,1
66,16,689.4799999999999,1,0
154,29,622.85,1,1
29,63,406.76,0,0
70,21,310.62,1,0
14,19,411.41,0,0
2,91,4777.18,0,0
1,212,16225.39,0,0
120,51,1044.32,1,1
61,19,499.32,1,0
3,310,7616.53,0,0
3,1,3861.0,0,0
11,32,1079.6100000000001,0,0
92,10,193.64,1,1
59,13,1268.7,1,0
87,69,1236.54,1,0
26,142,1827.8,0,0
357,9,316.58,3,1
85,37,653.24,1,0
10,9,420.29999999999995,0,0
1,42,870.12,0,0
225,20,331.18,3,1
60,52,894.4100000000001,1,0
241,5,101.8,3,1
319,24,328.35,3,1
2,110,1661.44,0,0
47,35,734.94,1,0
88,2,96.6,1,0
11,166,5756.89,0,0
176,9,305.75,1,1
52,117,1778.96,0,0
366,5,403.25,3,1
319,5,585.0,3,1
226,20,755.75,3,1
358,14,322.08,3,1
234,23,409.40000000000003,3,1
311,8,154.41,3,1
37,58,1219.4,0,0
66,125,3386.71,0,0
239,23,429.6,3,1
113,31,612.06,1,1
277,14,197.0,3,1
218,143,2247.51,3,1
299,15,321.05,3,1
2,99,1412.32,0,0
29,50,1071.99,0,0
10,49,780.59,0,0
45,78,1706.57,0,0
67,110,1756.44,1,0
74,22,316.68,1,0
65,34,631.57,1,0
134,89,2515.84,1,1
238,33,514.15,3,1
122,6,356.0,1,1
32,350,6688.46,0,0
9,111,10484.99,0,0
36,44,740.78,0,0
16,53,918.1999999999999,0,0
127,18,300.36,1,1
67,47,890.85,1,0
149,6,98.45,1,1
283,7,317.15,3,1
169,34,623.16,1,1
100,77,1810.77,1,1
135,19,254.82,1,1
324,10,178.95000000000002,3,1
107,12,156.51,1,1
64,23,393.74,1,0
151,82,1506.1200000000001,1,1
338,6,119.3,3,1
22,11,1717.36,0,0
24,2,408.8,0,0
16,41,2379.49,0,0
7,274,2507.07,0,0
57,63,721.94,1,0
4,47,716.57,0,0
38,41,615.14,0,0
66,52,135.31,1,0
47,12,255.89999999999998,1,0
355,19,290.51,3,1
172,16,113.12,1,1
59,139,2332.15,0,0
50,3,240.55,1,0
22,20,486.69,0,0
43,88,2306.52,0,0
29,58,939.78,0,0
5,204,7943.22,0,0
26,103,4668.3,0,0
201,25,180.94,3,1
51,194,3672.86,0,0
10,39,641.94,0,0
2,192,4799.9,0,0
67,7,4507.01,1,0
